brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
apple,361804.0,355324.0,-6480.0,16187.0,12047.0,-4140.0,13002157.0,9403973.0,-3598184.0,-27.67,4.47,3.39,-1.08,28.02,64.41,36.39,35.94,26.47,-9.47
samsung,449697.0,441176.0,-8521.0,20036.0,14479.0,-5557.0,5493690.0,4038909.5,-1454780.5,-26.48,4.46,3.28,-1.18,37.14,64.52,27.38,12.22,9.15,-3.07
xiaomi,260852.0,258874.0,-1978.0,6518.0,5039.0,-1479.0,1085404.0,834018.5,-251385.5,-23.16,2.5,1.95,-0.55,41.3,71.59,30.29,4.16,3.22,-0.94
huawei,98789.0,83789.0,-15000.0,2782.0,1713.0,-1069.0,591994.94,341976.75,-250018.19,-42.23,2.82,2.04,-0.78,39.42,66.16,26.74,5.99,4.08,-1.91
acer,38136.0,41590.0,3454.0,778.0,469.0,-309.0,414248.28,250579.73,-163668.55,-39.51,2.04,1.13,-0.91,27.02,68.25,41.23,10.86,6.02,-4.84
indesit,25659.0,24690.0,-969.0,593.0,377.0,-216.0,152207.73,97034.12,-55173.61,-36.25,2.31,1.53,-0.78,18.32,69.91,51.59,5.93,3.93,-2.0
beko,21025.0,18175.0,-2850.0,457.0,283.0,-174.0,112513.92,67506.09,-45007.83,-40.0,2.17,1.56,-0.61,22.15,69.6,47.45,5.35,3.71,-1.64
oppo,43549.0,48367.0,4818.0,1313.0,1130.0,-183.0,294119.28,264314.94,-29804.34,-10.13,3.01,2.34,-0.67,40.43,63.63,23.2,6.75,5.46,-1.29
vivo,10446.0,9715.0,-731.0,223.0,135.0,-88.0,55659.91,36366.53,-19293.38,-34.66,2.13,1.39,-0.74,27.6,67.7,40.1,5.33,3.74,-1.59
canon,6838.0,6887.0,49.0,111.0,73.0,-38.0,53391.67,34581.68,-18809.99,-35.23,1.62,1.06,-0.56,16.54,70.56,54.02,7.81,5.02,-2.79
hubert,2122.0,1257.0,-865.0,47.0,16.0,-31.0,25011.91,7424.76,-17587.15,-70.32,2.21,1.27,-0.94,28.79,67.35,38.56,11.79,5.91,-5.88
haier,17332.0,16457.0,-875.0,349.0,282.0,-67.0,99233.63,81792.43,-17441.2,-17.58,2.01,1.71,-0.3,47.12,61.68,14.56,5.73,4.97,-0.76
elenberg,24498.0,16163.0,-8335.0,723.0,344.0,-379.0,29269.79,13089.74,-16180.05,-55.28,2.95,2.13,-0.82,23.73,61.04,37.31,1.19,0.81,-0.38
lg,50613.0,63906.0,13293.0,1061.0,964.0,-97.0,411276.88,398551.3,-12725.58,-3.09,2.1,1.51,-0.59,31.15,70.96,39.81,8.13,6.24,-1.89
sony,42178.0,47925.0,5747.0,746.0,767.0,21.0,291001.03,279869.2,-11131.83,-3.83,1.77,1.6,-0.17,29.76,69.15,39.39,6.9,5.84,-1.06
hisense,711.0,0.0,-711.0,15.0,0.0,-15.0,9133.74,0.0,-9133.74,-100.0,2.11,0.0,-2.11,40.0,0.0,-40.0,12.85,0.0,-12.85
bosch,49982.0,56973.0,6991.0,683.0,615.0,-68.0,154503.2,146493.81,-8009.39,-5.18,1.37,1.08,-0.29,16.81,70.85,54.04,3.09,2.57,-0.52
philips,26723.0,28059.0,1336.0,534.0,445.0,-89.0,58762.51,51382.9,-7379.61,-12.56,2.0,1.59,-0.41,25.94,60.51,34.57,2.2,1.83,-0.37
rinnai,791.0,554.0,-237.0,13.0,5.0,-8.0,11850.91,4556.33,-7294.58,-61.55,1.64,0.9,-0.74,7.14,79.17,72.03,14.98,8.22,-6.76
redmond,24874.0,27158.0,2284.0,481.0,365.0,-116.0,33071.66,26506.85,-6564.81,-19.85,1.93,1.34,-0.59,26.45,69.15,42.7,1.33,0.98,-0.35
epson,5358.0,5538.0,180.0,150.0,116.0,-34.0,33937.29,27927.26,-6010.03,-17.71,2.8,2.09,-0.71,28.23,66.08,37.85,6.33,5.04,-1.29
atlant,7728.0,8614.0,886.0,103.0,78.0,-25.0,27751.19,21779.56,-5971.63,-21.52,1.33,0.91,-0.42,4.63,78.03,73.4,3.59,2.53,-1.06
candy,3026.0,3013.0,-13.0,40.0,20.0,-20.0,11579.92,5632.14,-5947.78,-51.36,1.32,0.66,-0.66,32.2,79.8,47.6,3.83,1.87,-1.96
jbl,13055.0,11053.0,-2002.0,280.0,186.0,-94.0,18580.69,13423.13,-5157.56,-27.76,2.14,1.68,-0.46,23.08,67.71,44.63,1.42,1.21,-0.21
starline,11361.0,11847.0,486.0,240.0,194.0,-46.0,33353.05,28400.29,-4952.76,-14.85,2.11,1.64,-0.47,37.82,73.31,35.49,2.94,2.4,-0.54
garmin,6634.0,6264.0,-370.0,29.0,24.0,-5.0,16586.3,11831.53,-4754.77,-28.67,0.44,0.38,-0.06,21.62,76.7,55.08,2.5,1.89,-0.61
neoline,5130.0,3751.0,-1379.0,61.0,31.0,-30.0,9640.96,5300.02,-4340.94,-45.03,1.19,0.83,-0.36,47.86,75.4,27.54,1.88,1.41,-0.47
michelin,5384.0,4755.0,-629.0,120.0,77.0,-43.0,14200.39,9978.28,-4222.11,-29.73,2.23,1.62,-0.61,10.45,74.67,64.22,2.64,2.1,-0.54
phoenix,2644.0,977.0,-1667.0,32.0,10.0,-22.0,5950.07,1800.78,-4149.29,-69.74,1.21,1.02,-0.19,49.21,70.59,21.38,2.25,1.84,-0.41
zeta,6769.0,5246.0,-1523.0,106.0,53.0,-53.0,7400.38,3481.42,-3918.96,-52.96,1.57,1.01,-0.56,38.73,75.12,36.39,1.09,0.66,-0.43
panasonic,9015.0,9072.0,57.0,136.0,90.0,-46.0,12253.18,8352.6,-3900.58,-31.83,1.51,0.99,-0.52,46.03,76.06,30.03,1.36,0.92,-0.44
prestigio,5496.0,4423.0,-1073.0,129.0,96.0,-33.0,8309.68,4712.87,-3596.81,-43.28,2.35,2.17,-0.18,12.84,63.64,50.8,1.51,1.07,-0.44
ea,1420.0,893.0,-527.0,82.0,40.0,-42.0,6020.69,2488.19,-3532.5,-58.67,5.77,4.48,-1.29,63.56,70.8,7.24,4.24,2.79,-1.45
elari,5953.0,4341.0,-1612.0,126.0,69.0,-57.0,7433.89,3960.9,-3472.99,-46.72,2.12,1.59,-0.53,29.21,53.38,24.17,1.25,0.91,-0.34
