month,brand,view_sessions,cart_sessions,purchase_sessions,total_revenue,view_to_cart_pct,cart_to_purchase_pct,conversion_rate,cart_abandonment_pct,revenue_per_view
November,apple,355324.0,33845.0,12047.0,9403973.0,9.53,35.59,3.39,64.41,26.47
November,samsung,441176.0,40810.0,14479.0,4038909.5,9.25,35.48,3.28,64.52,9.15
November,xiaomi,258874.0,17739.0,5039.0,834018.5,6.85,28.41,1.95,71.59,3.22
November,unknown,512314.0,17835.0,5492.0,820740.8,3.48,30.79,1.07,69.21,1.6
November,lg,63906.0,3319.0,964.0,398551.3,5.19,29.04,1.51,70.96,6.24
November,huawei,83789.0,5062.0,1713.0,341976.75,6.04,33.84,2.04,66.16,4.08
November,sony,47925.0,2486.0,767.0,279869.2,5.19,30.85,1.6,69.15,5.84
November,lucente,69071.0,2680.0,1085.0,269095.97,3.88,40.49,1.57,59.51,3.9
November,oppo,48367.0,3107.0,1130.0,264314.94,6.42,36.37,2.34,63.63,5.46
November,acer,41590.0,1477.0,469.0,250579.73,3.55,31.75,1.13,68.25,6.02
November,lenovo,41340.0,1453.0,479.0,204500.61,3.51,32.97,1.16,67.03,4.95
November,bosch,56973.0,2110.0,615.0,146493.81,3.7,29.15,1.08,70.85,2.57
November,asus,28275.0,716.0,226.0,128522.63,2.53,31.56,0.8,68.44,4.55
November,artel,39082.0,2282.0,696.0,125156.28,5.84,30.5,1.78,69.5,3.2
November,hp,30341.0,940.0,319.0,98365.6,3.1,33.94,1.05,66.06,3.24
November,indesit,24690.0,1253.0,377.0,97034.12,5.07,30.09,1.53,69.91,3.93
November,haier,16457.0,736.0,282.0,81792.43,4.47,38.32,1.71,61.68,4.97
November,beko,18175.0,931.0,283.0,67506.09,5.12,30.4,1.56,69.6,3.71
November,dauscher,25751.0,1144.0,300.0,63168.66,4.44,26.22,1.17,73.78,2.45
November,cordiant,40232.0,4053.0,1257.0,58372.19,10.07,31.01,3.12,68.99,1.45
November,philips,28059.0,1127.0,445.0,51382.9,4.02,39.49,1.59,60.51,1.83
November,midea,17184.0,935.0,294.0,45925.03,5.44,31.44,1.71,68.56,2.67
November,vivo,9715.0,418.0,135.0,36366.53,4.3,32.3,1.39,67.7,3.74
November,janome,10967.0,619.0,156.0,35696.28,5.64,25.2,1.42,74.8,3.25
November,nokian,16912.0,1609.0,452.0,35613.96,9.51,28.09,2.67,71.91,2.11
November,tefal,21097.0,898.0,302.0,35509.29,4.26,33.63,1.43,66.37,1.68
November,canon,6887.0,248.0,73.0,34581.68,3.6,29.44,1.06,70.56,5.02
November,kivi,5171.0,306.0,120.0,33517.31,5.92,39.22,2.32,60.78,6.48
November,oneplus,7028.0,180.0,49.0,30193.43,2.56,27.22,0.7,72.78,4.3
November,respect,44311.0,1217.0,354.0,28947.31,2.75,29.09,0.8,70.91,0.65
November,starline,11847.0,727.0,194.0,28400.29,6.14,26.69,1.64,73.31,2.4
November,epson,5538.0,342.0,116.0,27927.26,6.18,33.92,2.09,66.08,5.04
November,sv,17445.0,327.0,112.0,27613.14,1.87,34.25,0.64,65.75,1.58
November,tcl,5354.0,331.0,104.0,27388.5,6.18,31.42,1.94,68.58,5.12
November,hansa,10950.0,390.0,100.0,27166.79,3.56,25.64,0.91,74.36,2.48
November,brw,18780.0,273.0,101.0,26712.29,1.45,37.0,0.54,63.0,1.42
November,redmond,27158.0,1183.0,365.0,26506.85,4.36,30.85,1.34,69.15,0.98
November,pulser,7978.0,163.0,46.0,26439.63,2.04,28.22,0.58,71.78,3.31
November,casio,21027.0,704.0,248.0,23936.27,3.35,35.23,1.18,64.77,1.14
November,sokolov,15427.0,426.0,157.0,23718.63,2.76,36.85,1.02,63.15,1.54
November,karcher,10612.0,437.0,91.0,22841.34,4.12,20.82,0.86,79.18,2.15
November,atlant,8614.0,355.0,78.0,21779.56,4.12,21.97,0.91,78.03,2.53
November,delonghi,4833.0,163.0,54.0,21267.34,3.37,33.13,1.12,66.87,4.4
November,yamaha,4631.0,198.0,54.0,20788.87,4.28,27.27,1.17,72.73,4.49
November,nokia,15463.0,573.0,220.0,20062.9,3.71,38.39,1.42,61.61,1.3
November,stels,15279.0,731.0,193.0,18988.2,4.78,26.4,1.26,73.6,1.24
November,huter,6889.0,367.0,95.0,18917.31,5.33,25.89,1.38,74.11,2.75
November,viatti,15313.0,1483.0,421.0,18694.92,9.68,28.39,2.75,71.61,1.22
November,vitek,24511.0,1378.0,425.0,18646.36,5.62,30.84,1.73,69.16,0.76
November,electrolux,7435.0,224.0,87.0,18611.8,3.01,38.84,1.17,61.16,2.5
November,arg,7096.0,461.0,168.0,18312.47,6.5,36.44,2.37,63.56,2.58
November,bts,11064.0,211.0,63.0,18212.0,1.91,29.86,0.57,70.14,1.65
November,yokohama,7952.0,627.0,185.0,17944.32,7.88,29.51,2.33,70.49,2.26
November,braun,11830.0,547.0,178.0,17764.58,4.62,32.54,1.5,67.46,1.5
November,navien,1671.0,174.0,30.0,17574.98,10.41,17.24,1.8,82.76,10.52
November,ariston,5663.0,462.0,131.0,17270.56,8.16,28.35,2.31,71.65,3.05
November,force,9603.0,407.0,103.0,17101.59,4.24,25.31,1.07,74.69,1.78
November,lider,3184.0,91.0,40.0,16979.33,2.86,43.96,1.26,56.04,5.33
November,meizu,13215.0,423.0,135.0,16845.54,3.2,31.91,1.02,68.09,1.27
November,thomas,4765.0,219.0,51.0,16718.04,4.6,23.29,1.07,76.71,3.51
November,honor,7973.0,149.0,71.0,15889.1,1.87,47.65,0.89,52.35,1.99
November,triangle,11961.0,1073.0,323.0,15813.32,8.97,30.1,2.7,69.9,1.32
November,pioneer,12114.0,379.0,129.0,15644.02,3.13,34.04,1.06,65.96,1.29
November,msi,4803.0,123.0,25.0,15082.12,2.56,20.33,0.52,79.67,3.14
November,polaris,20069.0,829.0,280.0,13871.34,4.13,33.78,1.4,66.22,0.69
November,nikon,2526.0,95.0,30.0,13445.88,3.76,31.58,1.19,68.42,5.32
November,jbl,11053.0,576.0,186.0,13423.13,5.21,32.29,1.68,67.71,1.21
November,dinastia,2949.0,89.0,35.0,13322.34,3.02,39.33,1.19,60.67,4.52
November,elenberg,16163.0,883.0,344.0,13089.74,5.46,38.96,2.13,61.04,0.81
November,gorenje,6971.0,179.0,59.0,13040.04,2.57,32.96,0.85,67.04,1.87
November,dji,2025.0,45.0,12.0,12544.93,2.22,26.67,0.59,73.33,6.2
November,kenwood,7087.0,196.0,64.0,12507.0,2.77,32.65,0.9,67.35,1.76
November,yasin,4278.0,161.0,47.0,12431.07,3.76,29.19,1.1,70.81,2.91
November,dyson,2322.0,72.0,21.0,12272.58,3.1,29.17,0.9,70.83,5.29
November,garmin,6264.0,103.0,24.0,11831.53,1.64,23.3,0.38,76.7,1.89
