category_l1,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
electronics,1237860.0,1243618.0,5758.0,48486.0,35879.0,-12607.0,20734824.0,15137309.0,-5597515.0,-27.0,3.92,2.89,-1.03,32.12,65.57,33.45,16.75,12.17,-4.58
appliances,352228.0,408508.0,56280.0,8762.0,7244.0,-1518.0,1626017.0,1399032.5,-226984.5,-13.96,2.49,1.77,-0.72,11.96,69.96,58.0,4.62,3.42,-1.2
construction,53415.0,55078.0,1663.0,862.0,649.0,-213.0,113035.54,86872.95,-26162.59,-23.15,1.61,1.18,-0.43,25.04,72.99,47.95,2.12,1.58,-0.54
country_yard,1226.0,1035.0,-191.0,6.0,4.0,-2.0,1818.24,950.99,-867.25,-47.7,0.49,0.39,-0.1,0.0,82.61,82.61,1.48,0.92,-0.56
medicine,1244.0,1208.0,-36.0,30.0,26.0,-4.0,1276.83,1280.84,4.01,0.31,2.41,2.15,-0.26,54.55,72.34,17.79,1.03,1.06,0.03
accessories,0.0,20708.0,20708.0,0.0,147.0,147.0,0.0,6178.63,6178.63,0.0,0.0,0.71,0.71,0.0,71.89,71.89,0.0,0.3,0.3
sport,0.0,13729.0,13729.0,0.0,99.0,99.0,0.0,29042.92,29042.92,0.0,0.0,0.72,0.72,0.0,76.26,76.26,0.0,2.12,2.12
kids,0.0,44432.0,44432.0,0.0,478.0,478.0,0.0,54763.43,54763.43,0.0,0.0,1.08,1.08,0.0,67.17,67.17,0.0,1.23,1.23
apparel,0.0,154242.0,154242.0,0.0,1016.0,1016.0,0.0,85383.46,85383.46,0.0,0.0,0.66,0.66,0.0,72.2,72.2,0.0,0.55,0.55
auto,0.0,65063.0,65063.0,0.0,778.0,778.0,0.0,100675.09,100675.09,0.0,0.0,1.2,1.2,0.0,70.81,70.81,0.0,1.55,1.55
furniture,0.0,110471.0,110471.0,0.0,851.0,851.0,0.0,184056.14,184056.14,0.0,0.0,0.77,0.77,0.0,70.4,70.4,0.0,1.67,1.67
computers,0.0,205207.0,205207.0,0.0,2532.0,2532.0,0.0,1051250.2,1051250.2,0.0,0.0,1.23,1.23,0.0,69.26,69.26,0.0,5.12,5.12
unknown,0.0,1108721.0,1108721.0,0.0,17233.0,17233.0,0.0,2220834.8,2220834.8,0.0,0.0,1.55,1.55,0.0,69.83,69.83,0.0,2.0,2.0
