month,category_l1,view_sessions,cart_sessions,purchase_sessions,total_revenue,view_to_cart_pct,cart_to_purchase_pct,conversion_rate,cart_abandonment_pct,revenue_per_view
November,electronics,1243618.0,104200.0,35879.0,15137309.0,8.38,34.43,2.89,65.57,12.17
November,unknown,1108721.0,57116.0,17233.0,2220834.8,5.15,30.17,1.55,69.83,2.0
November,appliances,408508.0,24113.0,7244.0,1399032.5,5.9,30.04,1.77,69.96,3.42
November,computers,205207.0,8236.0,2532.0,1051250.2,4.01,30.74,1.23,69.26,5.12
November,furniture,110471.0,2875.0,851.0,184056.14,2.6,29.6,0.77,70.4,1.67
November,auto,65063.0,2665.0,778.0,100675.09,4.1,29.19,1.2,70.81,1.55
November,construction,55078.0,2403.0,649.0,86872.95,4.36,27.01,1.18,72.99,1.58
November,apparel,154242.0,3655.0,1016.0,85383.46,2.37,27.8,0.66,72.2,0.55
November,kids,44432.0,1456.0,478.0,54763.43,3.28,32.83,1.08,67.17,1.23
November,sport,13729.0,417.0,99.0,29042.92,3.04,23.74,0.72,76.26,2.12
November,accessories,20708.0,523.0,147.0,6178.63,2.53,28.11,0.71,71.89,0.3
November,medicine,1208.0,94.0,26.0,1280.84,7.78,27.66,2.15,72.34,1.06
November,country_yard,1035.0,23.0,4.0,950.99,2.22,17.39,0.39,82.61,0.92
October,electronics,1237860.0,71424.0,48486.0,20734824.0,5.77,67.88,3.92,32.12,16.75
October,appliances,352228.0,9952.0,8762.0,1626017.0,2.83,88.04,2.49,11.96,4.62
October,construction,53415.0,1150.0,862.0,113035.54,2.15,74.96,1.61,25.04,2.12
October,country_yard,1226.0,6.0,6.0,1818.24,0.49,100.0,0.49,0.0,1.48
October,medicine,1244.0,66.0,30.0,1276.83,5.31,45.45,2.41,54.55,1.03
