date,month,week_number,day_of_week,total_sessions,total_users,view_sessions,cart_sessions,purchase_sessions,total_revenue,conversion_rate,cart_abandonment_pct,revenue_per_session
2019-10-01,October,40,Tuesday,91504,77002,89305.0,1792.0,2156.0,734698.68,2.41,-20.31,8.03
2019-10-02,October,40,Wednesday,87767,73870,85482.0,1883.0,2217.0,743262.28,2.59,-17.74,8.47
2019-10-03,October,40,Thursday,81936,69071,79587.0,2005.0,2214.0,728733.76,2.78,-10.42,8.89
2019-10-04,October,40,Friday,103821,86059,99667.0,4685.0,3127.0,1002033.05,3.14,33.26,9.65
2019-10-05,October,40,Saturday,96386,80456,93026.0,3762.0,2667.0,861322.24,2.87,29.11,8.94
2019-10-06,October,40,Sunday,94993,79345,91788.0,3454.0,2637.0,807466.52,2.87,23.65,8.5
2019-10-07,October,41,Monday,88748,74722,86407.0,1830.0,2422.0,708594.85,2.8,-32.35,7.98
2019-10-08,October,41,Tuesday,102444,86991,99858.0,1987.0,2668.0,810231.18,2.67,-34.27,7.91
2019-10-09,October,41,Wednesday,99546,84085,96995.0,1978.0,2606.0,764987.32,2.69,-31.75,7.68
2019-10-10,October,41,Thursday,96223,80640,93720.0,2010.0,2451.0,759500.02,2.62,-21.94,7.89
2019-10-11,October,41,Friday,110622,91620,107681.0,2236.0,3014.0,887318.14,2.8,-34.79,8.02
2019-10-12,October,41,Saturday,105956,87001,103233.0,2108.0,2949.0,876801.65,2.86,-39.9,8.28
2019-10-13,October,41,Sunday,117110,95091,113944.0,2571.0,3385.0,1004056.05,2.97,-31.66,8.57
2019-10-14,October,42,Monday,106624,87500,102320.0,4727.0,3268.0,1094145.14,3.19,30.87,10.26
2019-10-15,October,42,Tuesday,114275,94234,109719.0,5341.0,2990.0,986053.22,2.73,44.02,8.63
2019-10-16,October,42,Wednesday,112311,93380,107700.0,4887.0,3654.0,1153204.42,3.39,25.23,10.27
2019-10-17,October,42,Thursday,103451,85788,99387.0,4316.0,3242.0,1059213.99,3.26,24.88,10.24
2019-10-18,October,42,Friday,110384,91719,106496.0,4217.0,3040.0,982377.76,2.85,27.91,8.9
2019-10-19,October,42,Saturday,106206,87777,102518.0,4243.0,2826.0,896142.09,2.76,33.4,8.44
2019-10-20,October,42,Sunday,111156,92178,107235.0,4478.0,2886.0,883920.22,2.69,35.55,7.95
2019-10-21,October,43,Monday,105080,87853,101343.0,4034.0,2960.0,960388.51,2.92,26.62,9.14
2019-10-22,October,43,Tuesday,104669,87830,101108.0,3986.0,2839.0,880123.88,2.81,28.78,8.41
2019-10-23,October,43,Wednesday,102640,86208,99086.0,3882.0,2873.0,940793.44,2.9,25.99,9.17
2019-10-24,October,43,Thursday,97353,81636,93894.0,3679.0,2689.0,870751.9,2.86,26.91,8.94
2019-10-25,October,43,Friday,105349,88020,101644.0,3981.0,2856.0,900739.81,2.81,28.26,8.55
2019-10-26,October,43,Saturday,98366,81796,94868.0,3751.0,2609.0,829466.71,2.75,30.45,8.43
2019-10-27,October,43,Sunday,99829,82705,96481.0,3662.0,2664.0,820051.09,2.76,27.25,8.21
2019-10-28,October,44,Monday,93162,77957,90721.0,1891.0,2401.0,782273.7,2.65,-26.97,8.4
2019-10-29,October,44,Tuesday,90756,76092,88430.0,1781.0,2263.0,743703.42,2.56,-27.06,8.19
2019-10-30,October,44,Wednesday,90556,75976,88212.0,1785.0,2391.0,801466.55,2.71,-33.95,8.85
2019-10-31,October,44,Thursday,93326,78638,91051.0,1783.0,2253.0,745167.13,2.47,-26.36,7.98
2019-11-01,November,44,Friday,76998,66867,74981.0,1265.0,1650.0,508534.54,2.2,-30.43,6.6
2019-11-02,November,44,Saturday,82340,71179,80281.0,1390.0,1597.0,476697.53,1.99,-14.89,5.79
2019-11-03,November,44,Sunday,83562,72750,81460.0,1408.0,1668.0,501726.05,2.05,-18.47,6.0
2019-11-04,November,45,Monday,95976,83368,93545.0,1561.0,1942.0,551330.48,2.08,-24.41,5.74
2019-11-05,November,45,Tuesday,91407,79400,89181.0,1332.0,1860.0,570842.16,2.09,-39.64,6.25
2019-11-06,November,45,Wednesday,89340,77760,87157.0,1342.0,1894.0,565857.79,2.17,-41.13,6.33
2019-11-07,November,45,Thursday,94971,83017,92797.0,1388.0,1802.0,531750.23,1.94,-29.83,5.6
2019-11-08,November,45,Friday,100759,86687,96122.0,5372.0,1843.0,565066.04,1.92,65.69,5.61
2019-11-09,November,45,Saturday,97931,83746,93762.0,4901.0,1671.0,508798.31,1.78,65.9,5.2
2019-11-10,November,45,Sunday,101535,87030,97293.0,5011.0,1647.0,492074.36,1.69,67.13,4.85
2019-11-11,November,46,Monday,105921,89991,101519.0,5151.0,1891.0,523837.92,1.86,63.29,4.95
2019-11-12,November,46,Tuesday,104189,88630,100027.0,4844.0,1656.0,496242.27,1.66,65.81,4.76
2019-11-13,November,46,Wednesday,106102,89556,101834.0,5100.0,1614.0,486279.98,1.58,68.35,4.58
2019-11-14,November,46,Thursday,147939,113520,140208.0,11302.0,1659.0,532045.87,1.18,85.32,3.6
2019-11-15,November,46,Friday,267757,187364,249060.0,32713.0,0.0,0.0,0.0,100.0,0.0
2019-11-16,November,46,Saturday,303049,213969,283789.0,27365.0,4927.0,1746392.22,1.74,82.0,5.76
2019-11-17,November,46,Sunday,297720,209456,273624.0,28688.0,13353.0,4296238.44,4.88,53.45,14.43
2019-11-18,November,47,Monday,109806,93603,104695.0,5778.0,2118.0,624048.42,2.02,63.34,5.68
2019-11-19,November,47,Tuesday,93758,80880,89384.0,5018.0,1819.0,521870.2,2.04,63.75,5.57
2019-11-20,November,47,Wednesday,92358,79755,88030.0,5029.0,1860.0,533079.7,2.11,63.01,5.77
2019-11-21,November,47,Thursday,90861,78370,86438.0,5223.0,1846.0,524951.22,2.14,64.66,5.78
2019-11-22,November,47,Friday,84085,72120,79932.0,4764.0,1702.0,479158.31,2.13,64.27,5.7
2019-11-23,November,47,Saturday,82771,70836,78965.0,4485.0,1568.0,468226.85,1.99,65.04,5.66
2019-11-24,November,47,Sunday,83690,71951,79734.0,4618.0,1757.0,489979.13,2.2,61.95,5.85
2019-11-25,November,48,Monday,85016,72993,80749.0,4855.0,1835.0,540869.18,2.27,62.2,6.36
2019-11-26,November,48,Tuesday,87631,75035,83269.0,5108.0,1792.0,525738.45,2.15,64.92,6.0
2019-11-27,November,48,Wednesday,87677,75713,83449.0,4892.0,1720.0,505755.7,2.06,64.84,5.77
2019-11-28,November,48,Thursday,88408,75694,84153.0,4821.0,1712.0,480887.96,2.03,64.49,5.44
2019-11-29,November,48,Friday,99596,84587,93926.0,6418.0,2281.0,718634.77,2.43,64.46,7.22
2019-11-30,November,48,Saturday,92367,78326,87428.0,5699.0,2056.0,590930.2,2.35,63.92,6.4
