month,day_of_week,total_sessions,total_users,view_sessions,cart_sessions,purchase_sessions,total_revenue,conversion_rate,view_to_cart_pct,cart_to_purchase_pct,revenue_per_session
November,Sunday,566507,403218,532111.0,39725.0,18425.0,5780017.98,3.46,7.47,46.38,10.2
November,Saturday,658458,463224,624225.0,43840.0,11819.0,3791045.11,1.89,7.02,26.96,5.76
November,Friday,629195,444232,594021.0,50532.0,7476.0,2271393.66,1.26,8.51,14.79,3.61
November,Monday,396719,314054,380508.0,17345.0,7786.0,2240086.0,2.05,4.56,44.89,5.65
November,Tuesday,376985,300525,361861.0,16302.0,7127.0,2114693.08,1.97,4.51,43.72,5.61
November,Wednesday,375477,299586,360470.0,16363.0,7088.0,2090973.17,1.97,4.54,43.32,5.57
November,Thursday,422179,323592,403596.0,22734.0,7019.0,2069635.28,1.74,5.63,30.87,4.9
October,Wednesday,492820,372243,477475.0,14415.0,13741.0,4403714.01,2.88,3.02,95.32,8.94
October,Thursday,472289,355963,457639.0,13793.0,12849.0,4163366.8,2.81,3.01,93.16,8.82
October,Tuesday,503648,378717,488420.0,14887.0,12916.0,4154810.38,2.64,3.05,86.76,8.25
October,Friday,430176,324289,415488.0,15119.0,12037.0,3772468.76,2.9,3.64,79.62,8.77
October,Monday,393614,299635,380791.0,12482.0,11051.0,3545402.2,2.9,3.28,88.54,9.01
October,Sunday,423088,318100,409448.0,14165.0,11572.0,3515493.88,2.83,3.46,81.69,8.31
October,Saturday,406914,307295,393645.0,13864.0,11051.0,3463732.69,2.81,3.52,79.71,8.51
