month,product_id,brand,category_l1,category_l2,price_tier,avg_price,total_views,total_carts,total_purchases,cart_rate,conversion_rate,recommendation
November,1701356,asus,computers,peripherals,premium,445.72,30.0,0.0,6.0,0.0,20.0,Hidden Gem - Promote Higher
November,50200015,unknown,unknown,unknown,budget,44.55,20.0,2.0,4.0,10.0,20.0,Hidden Gem - Promote Higher
November,12712794,bridgestone,unknown,unknown,premium,393.29,38.0,6.0,6.0,15.79,15.79,Hidden Gem - Promote Higher
November,3300532,polaris,unknown,unknown,mid,99.67,40.0,13.0,6.0,32.5,15.0,Hidden Gem - Promote Higher
November,28718991,baden,apparel,shoes,mid,86.23,27.0,2.0,4.0,7.41,14.81,Hidden Gem - Promote Higher
November,15201141,unknown,unknown,unknown,budget,39.6,36.0,7.0,5.0,19.44,13.89,Hidden Gem - Promote Higher
November,26017876,unknown,unknown,unknown,budget,7.36,29.0,2.0,4.0,6.9,13.79,Hidden Gem - Promote Higher
November,12703201,cordiant,unknown,unknown,mid,88.81,29.0,1.0,4.0,3.45,13.79,Hidden Gem - Promote Higher
November,1004796,xiaomi,electronics,smartphone,premium,231.41,22.0,0.0,3.0,0.0,13.64,Hidden Gem - Promote Higher
November,17300065,unknown,unknown,unknown,budget,53.71,22.0,4.0,3.0,18.18,13.64,Hidden Gem - Promote Higher
November,9101142,rapoo,computers,peripherals,budget,22.77,22.0,8.0,3.0,36.36,13.64,Hidden Gem - Promote Higher
November,5100824,jet,unknown,unknown,budget,28.29,23.0,2.0,3.0,8.7,13.04,Hidden Gem - Promote Higher
November,28721048,cover,apparel,shoes,mid,127.42,23.0,3.0,3.0,13.04,13.04,Hidden Gem - Promote Higher
November,12701657,matador,unknown,unknown,mid,82.37,23.0,1.0,3.0,4.35,13.04,Hidden Gem - Promote Higher
November,6600463,geil,computers,components,mid,80.9,23.0,1.0,3.0,4.35,13.04,Hidden Gem - Promote Higher
November,5000751,brother,appliances,sewing_machine,premium,205.83,31.0,5.0,4.0,16.13,12.9,Hidden Gem - Promote Higher
November,11200532,scarlett,appliances,personal,budget,10.85,31.0,2.0,4.0,6.45,12.9,Hidden Gem - Promote Higher
November,12711557,triangle,unknown,unknown,budget,45.36,40.0,4.0,5.0,10.0,12.5,Hidden Gem - Promote Higher
November,16700764,unknown,furniture,kitchen,mid,77.19,40.0,6.0,5.0,15.0,12.5,Hidden Gem - Promote Higher
November,5800040,pioneer,electronics,audio,mid,94.87,32.0,2.0,4.0,6.25,12.5,Hidden Gem - Promote Higher
November,5300920,rowenta,unknown,unknown,mid,65.88,24.0,2.0,3.0,8.33,12.5,Hidden Gem - Promote Higher
November,12712145,unknown,unknown,unknown,budget,43.92,24.0,1.0,3.0,4.17,12.5,Hidden Gem - Promote Higher
November,16200119,moony,kids,fmcg,budget,16.85,24.0,2.0,3.0,8.33,12.5,Hidden Gem - Promote Higher
November,9100752,hp,computers,peripherals,budget,13.74,33.0,3.0,4.0,9.09,12.12,Hidden Gem - Promote Higher
November,12704965,viatti,unknown,unknown,mid,97.69,25.0,6.0,3.0,24.0,12.0,Hidden Gem - Promote Higher
November,12704777,nokian,unknown,unknown,mid,121.19,25.0,4.0,3.0,16.0,12.0,Hidden Gem - Promote Higher
November,12711591,triangle,unknown,unknown,mid,56.63,26.0,0.0,3.0,0.0,11.54,Hidden Gem - Promote Higher
November,14100505,rockdale,electronics,audio,mid,108.11,35.0,1.0,4.0,2.86,11.43,Hidden Gem - Promote Higher
November,12711622,yokohama,unknown,unknown,mid,68.4,35.0,2.0,4.0,5.71,11.43,Hidden Gem - Promote Higher
November,15200507,bars,unknown,unknown,mid,72.07,27.0,0.0,3.0,0.0,11.11,Hidden Gem - Promote Higher
November,18300588,sumdex,accessories,bag,budget,20.6,27.0,1.0,3.0,3.7,11.11,Hidden Gem - Promote Higher
November,7900250,unknown,furniture,kitchen,budget,23.14,27.0,1.0,3.0,3.7,11.11,Hidden Gem - Promote Higher
November,17301426,unknown,unknown,unknown,mid,68.28,37.0,4.0,4.0,10.81,10.81,Hidden Gem - Promote Higher
November,13400099,unknown,unknown,unknown,mid,180.18,56.0,2.0,6.0,3.57,10.71,Hidden Gem - Promote Higher
November,12700703,matador,unknown,unknown,mid,73.88,56.0,7.0,6.0,12.5,10.71,Hidden Gem - Promote Higher
