month,user_id,segment,total_sessions,total_events,total_purchases,total_spend,spend_per_session,purchases_per_session
October,519267944,loyal,57,78,22,32081.39,562.83,0.39
October,515384420,loyal,32,55,16,27525.53,860.17,0.5
October,513117637,loyal,53,87,18,22422.14,423.06,0.34
October,512386086,loyal,68,108,38,19447.73,286.0,0.56
October,530834332,loyal,43,84,17,18719.26,435.33,0.4
October,553431815,loyal,18,32,17,17206.79,955.93,0.94
October,513784794,loyal,17,32,15,15885.25,934.43,0.88
October,512511358,loyal,20,49,19,15730.97,786.55,0.95
October,519250600,loyal,28,49,10,15062.45,537.94,0.36
October,543029225,loyal,23,33,9,15024.03,653.22,0.39
October,532499743,loyal,15,33,10,14915.56,994.37,0.67
November,518514099,loyal,28,71,14,14848.03,530.29,0.5
October,513492934,loyal,15,17,8,14730.23,982.02,0.53
October,514320330,loyal,36,46,11,13856.81,384.91,0.31
October,548318522,loyal,21,35,13,13688.52,651.83,0.62
November,534545940,loyal,20,26,12,13665.73,683.29,0.6
October,562935379,loyal,21,34,13,13065.72,622.18,0.62
November,564068124,loyal,63,136,42,12978.4,206.01,0.67
October,559469054,loyal,33,44,10,12926.94,391.73,0.3
November,512386086,loyal,83,104,18,11798.96,142.16,0.22
October,513320236,loyal,49,122,29,11331.93,231.26,0.59
October,558009071,loyal,17,23,7,11060.16,650.6,0.41
November,521230795,loyal,41,51,12,10977.05,267.73,0.29
October,547330965,loyal,62,80,16,10900.08,175.81,0.26
November,549109608,loyal,49,71,20,10733.17,219.04,0.41
October,512600500,loyal,17,20,8,10437.97,614.0,0.47
October,558021007,loyal,39,55,14,10051.34,257.73,0.36
November,515384420,loyal,18,23,7,10027.79,557.1,0.39
October,513044965,loyal,19,22,7,9923.78,522.3,0.37
October,545308546,loyal,13,16,5,9807.36,754.41,0.38
October,542885422,loyal,7,20,6,9714.54,1387.79,0.86
October,549109608,loyal,43,75,20,9636.21,224.1,0.47
October,542561762,loyal,9,13,6,9619.58,1068.84,0.67
October,561233973,loyal,23,34,10,9210.89,400.47,0.43
October,523974502,loyal,39,112,31,9176.01,235.28,0.79
October,538216048,loyal,36,59,8,8909.3,247.48,0.22
October,513906722,loyal,35,45,12,8898.02,254.23,0.34
October,545563258,loyal,9,32,7,8857.04,984.12,0.78
October,538251250,loyal,14,28,6,8855.15,632.51,0.43
October,551361102,loyal,60,104,18,8801.38,146.69,0.3
October,514950756,loyal,25,30,5,8721.52,348.86,0.2
October,513136589,loyal,19,21,5,8718.35,458.86,0.26
October,518544223,loyal,6,10,5,8712.46,1452.08,0.83
October,520264548,loyal,21,31,9,8573.77,408.27,0.43
November,516462129,loyal,14,18,6,8458.48,604.18,0.43
November,564769842,loyal,26,49,11,8437.43,324.52,0.42
October,534545940,loyal,32,52,9,8426.42,263.33,0.28
November,570965763,loyal,10,20,9,8420.29,842.03,0.9
October,555394812,loyal,27,39,9,8393.15,310.86,0.33
October,544265841,loyal,27,41,8,8381.26,310.42,0.3
October,553324161,loyal,14,24,7,8329.02,594.93,0.5
October,546881736,loyal,39,98,11,8270.04,212.05,0.28
November,544711652,loyal,18,42,8,8268.51,459.36,0.44
October,514254247,loyal,11,25,8,8233.05,748.46,0.73
October,560647844,loyal,31,45,10,8176.78,263.77,0.32
October,539620874,loyal,20,30,9,8051.97,402.6,0.45
October,541520357,loyal,36,47,5,7940.99,220.58,0.14
November,547227816,loyal,18,25,5,7926.36,440.35,0.28
November,514070786,loyal,12,22,5,7926.3,660.53,0.42
November,516010934,loyal,16,22,8,7818.02,488.63,0.5
October,557028438,loyal,21,27,6,7712.05,367.24,0.29
October,512409624,loyal,27,31,11,7618.69,282.17,0.41
October,540135730,loyal,13,28,9,7555.95,581.23,0.69
October,547399783,loyal,24,49,8,7548.56,314.52,0.33
October,514948230,loyal,14,21,6,7543.96,538.85,0.43
October,520094527,loyal,13,16,6,7499.81,576.91,0.46
October,513941239,loyal,32,63,8,7494.6,234.21,0.25
October,513013149,loyal,23,35,13,7491.64,325.72,0.57
November,515424336,loyal,8,12,3,7489.71,936.21,0.38
November,544433442,loyal,10,11,5,7444.87,744.49,0.5
October,523796737,loyal,19,30,6,7433.13,391.22,0.32
November,513677580,loyal,13,15,6,7421.17,570.86,0.46
October,513900355,loyal,64,154,10,7393.38,115.52,0.16
November,541385001,loyal,17,30,7,7268.66,427.57,0.41
November,569333570,loyal,33,52,7,7268.04,220.24,0.21
November,534790953,loyal,27,49,16,7256.55,268.76,0.59
October,518849739,loyal,11,12,7,7243.68,658.52,0.64
November,512842822,loyal,16,22,6,7217.01,451.06,0.38
