month,product_id,brand,category_l1,category_l2,price_tier,avg_price,total_views,total_carts,total_purchases,cart_rate,conversion_rate,recommendation
November,1480163,acer,computers,desktop,luxury,628.38,1915.0,33.0,8.0,1.72,0.42,High Visibility Low Conversion - Investigate
November,1004792,xiaomi,electronics,smartphone,premium,478.53,1865.0,41.0,7.0,2.2,0.38,High Visibility Low Conversion - Investigate
November,1003879,huawei,electronics,smartphone,luxury,583.28,1831.0,27.0,9.0,1.47,0.49,High Visibility Low Conversion - Investigate
November,1004840,huawei,electronics,smartphone,luxury,931.33,1785.0,44.0,6.0,2.46,0.34,High Visibility Low Conversion - Investigate
November,28716666,respect,apparel,shoes,mid,89.84,1779.0,34.0,5.0,1.91,0.28,High Visibility Low Conversion - Investigate
November,1004505,xiaomi,electronics,smartphone,luxury,531.72,1703.0,4.0,1.0,0.23,0.06,High Visibility Low Conversion - Investigate
November,17200570,unknown,furniture,living_room,premium,459.3,1699.0,49.0,8.0,2.88,0.47,High Visibility Low Conversion - Investigate
November,26400756,unknown,unknown,unknown,premium,325.36,1673.0,28.0,3.0,1.67,0.18,High Visibility Low Conversion - Investigate
November,16000004,rondell,unknown,unknown,budget,41.8,1653.0,10.0,3.0,0.6,0.18,High Visibility Low Conversion - Investigate
November,10301494,welly,unknown,unknown,budget,5.77,1570.0,29.0,0.0,1.85,0.0,High Visibility Low Conversion - Investigate
November,3500009,bosch,unknown,unknown,premium,283.39,1549.0,44.0,9.0,2.84,0.58,High Visibility Low Conversion - Investigate
November,38900019,unknown,unknown,unknown,mid,100.39,1504.0,23.0,7.0,1.53,0.47,High Visibility Low Conversion - Investigate
November,54900013,unknown,apparel,costume,mid,51.48,1445.0,21.0,5.0,1.45,0.35,High Visibility Low Conversion - Investigate
November,17200651,unknown,furniture,living_room,premium,460.52,1403.0,40.0,8.0,2.85,0.57,High Visibility Low Conversion - Investigate
November,1004322,huawei,electronics,smartphone,premium,343.52,1371.0,16.0,5.0,1.17,0.36,High Visibility Low Conversion - Investigate
November,10300150,silverlit,unknown,unknown,budget,6.94,1351.0,48.0,0.0,3.55,0.0,High Visibility Low Conversion - Investigate
November,15100145,lider,unknown,unknown,premium,382.02,1333.0,25.0,7.0,1.88,0.53,High Visibility Low Conversion - Investigate
November,5100551,xiaomi,electronics,clocks,mid,165.36,1314.0,51.0,9.0,3.88,0.68,High Visibility Low Conversion - Investigate
November,16400204,granhel,unknown,unknown,mid,181.21,1289.0,55.0,9.0,4.27,0.7,High Visibility Low Conversion - Investigate
November,1005066,xiaomi,electronics,smartphone,premium,218.52,1283.0,42.0,9.0,3.27,0.7,High Visibility Low Conversion - Investigate
November,15100377,unknown,unknown,unknown,premium,364.6,1275.0,0.0,2.0,0.0,0.16,High Visibility Low Conversion - Investigate
November,3701005,philips,appliances,environment,premium,336.27,1271.0,30.0,7.0,2.36,0.55,High Visibility Low Conversion - Investigate
November,54900004,unknown,apparel,costume,mid,77.22,1265.0,17.0,4.0,1.34,0.32,High Visibility Low Conversion - Investigate
November,26400672,lucente,unknown,unknown,premium,385.85,1262.0,26.0,8.0,2.06,0.63,High Visibility Low Conversion - Investigate
November,17200728,rals,furniture,living_room,luxury,773.5,1209.0,25.0,3.0,2.07,0.25,High Visibility Low Conversion - Investigate
November,3600545,samsung,appliances,kitchen,luxury,577.98,1206.0,39.0,5.0,3.23,0.41,High Visibility Low Conversion - Investigate
November,1003549,samsung,electronics,smartphone,premium,406.98,1201.0,20.0,8.0,1.67,0.67,High Visibility Low Conversion - Investigate
November,22700202,stels,unknown,unknown,mid,174.9,1188.0,50.0,8.0,4.21,0.67,High Visibility Low Conversion - Investigate
November,1307069,acer,computers,notebook,luxury,522.98,1183.0,28.0,7.0,2.37,0.59,High Visibility Low Conversion - Investigate
November,1306359,acer,computers,notebook,luxury,658.81,1171.0,26.0,7.0,2.22,0.6,High Visibility Low Conversion - Investigate
November,28720831,unknown,apparel,shoes,mid,94.98,1165.0,8.0,1.0,0.69,0.09,High Visibility Low Conversion - Investigate
November,3601212,lg,appliances,kitchen,premium,397.15,1162.0,44.0,9.0,3.79,0.77,High Visibility Low Conversion - Investigate
November,1004946,oneplus,electronics,smartphone,luxury,735.06,1161.0,35.0,2.0,3.01,0.17,High Visibility Low Conversion - Investigate
November,3700907,karcher,appliances,environment,mid,117.9,1156.0,49.0,7.0,4.24,0.61,High Visibility Low Conversion - Investigate
November,26400291,lucente,unknown,unknown,premium,200.26,1156.0,36.0,8.0,3.11,0.69,High Visibility Low Conversion - Investigate
November,2601779,artel,unknown,unknown,mid,174.7,1154.0,40.0,9.0,3.47,0.78,High Visibility Low Conversion - Investigate
November,5700518,unknown,auto,accessories,mid,131.26,1145.0,29.0,6.0,2.53,0.52,High Visibility Low Conversion - Investigate
November,1480494,acer,computers,desktop,luxury,896.38,1143.0,17.0,2.0,1.49,0.17,High Visibility Low Conversion - Investigate
November,1305977,apple,computers,notebook,luxury,2543.36,1136.0,22.0,6.0,1.94,0.53,High Visibility Low Conversion - Investigate
November,28719606,baden,apparel,shoes,mid,62.81,1127.0,20.0,5.0,1.77,0.44,High Visibility Low Conversion - Investigate
November,15100106,imperial,unknown,unknown,luxury,677.72,1123.0,17.0,1.0,1.51,0.09,High Visibility Low Conversion - Investigate
November,1005287,xiaomi,electronics,smartphone,premium,262.93,1114.0,55.0,6.0,4.94,0.54,High Visibility Low Conversion - Investigate
November,1004965,oppo,electronics,smartphone,luxury,898.88,1113.0,7.0,5.0,0.63,0.45,High Visibility Low Conversion - Investigate
November,2701305,samsung,appliances,kitchen,luxury,544.52,1105.0,45.0,7.0,4.07,0.63,High Visibility Low Conversion - Investigate
November,1801636,xiaomi,electronics,video,luxury,556.45,1095.0,22.0,1.0,2.01,0.09,High Visibility Low Conversion - Investigate
November,1005151,xiaomi,electronics,smartphone,premium,410.79,1093.0,39.0,8.0,3.57,0.73,High Visibility Low Conversion - Investigate
November,2501301,beko,appliances,kitchen,premium,209.68,1090.0,33.0,5.0,3.03,0.46,High Visibility Low Conversion - Investigate
November,1005288,xiaomi,electronics,smartphone,premium,263.02,1088.0,61.0,6.0,5.61,0.55,High Visibility Low Conversion - Investigate
November,10800025,redmond,unknown,unknown,mid,55.57,1084.0,26.0,7.0,2.4,0.65,High Visibility Low Conversion - Investigate
November,1003535,samsung,electronics,smartphone,premium,478.14,1077.0,27.0,4.0,2.51,0.37,High Visibility Low Conversion - Investigate
November,1307179,lenovo,computers,notebook,luxury,804.9,1049.0,6.0,0.0,0.57,0.0,High Visibility Low Conversion - Investigate
November,26500139,lucente,unknown,unknown,mid,167.57,1047.0,26.0,9.0,2.48,0.86,High Visibility Low Conversion - Investigate
November,1307336,asus,computers,notebook,premium,352.78,1047.0,22.0,4.0,2.1,0.38,High Visibility Low Conversion - Investigate
November,1307062,asus,computers,notebook,luxury,900.6,1045.0,15.0,4.0,1.44,0.38,High Visibility Low Conversion - Investigate
November,1005196,xiaomi,electronics,smartphone,premium,445.45,1041.0,46.0,8.0,4.42,0.77,High Visibility Low Conversion - Investigate
November,16400198,unknown,unknown,unknown,mid,102.96,1036.0,62.0,9.0,5.98,0.87,High Visibility Low Conversion - Investigate
November,28600032,unknown,unknown,unknown,premium,265.1,1027.0,25.0,3.0,2.43,0.29,High Visibility Low Conversion - Investigate
November,1307054,apple,computers,notebook,luxury,1344.64,1021.0,37.0,9.0,3.62,0.88,High Visibility Low Conversion - Investigate
November,13200019,sv,furniture,bedroom,premium,386.38,1021.0,16.0,6.0,1.57,0.59,High Visibility Low Conversion - Investigate
November,22700076,stels,unknown,unknown,budget,37.08,1018.0,17.0,5.0,1.67,0.49,High Visibility Low Conversion - Investigate
November,1003706,huawei,electronics,smartphone,mid,180.33,1017.0,18.0,3.0,1.77,0.29,High Visibility Low Conversion - Investigate
November,54900011,unknown,apparel,costume,mid,64.35,1014.0,8.0,4.0,0.79,0.39,High Visibility Low Conversion - Investigate
November,1800729,samsung,electronics,video,premium,289.33,1014.0,0.0,0.0,0.0,0.0,High Visibility Low Conversion - Investigate
November,1480492,acer,computers,desktop,luxury,2569.87,1002.0,8.0,0.0,0.8,0.0,High Visibility Low Conversion - Investigate
October,1004322,huawei,electronics,smartphone,premium,324.33,1837.0,2.0,9.0,0.11,0.49,High Visibility Low Conversion - Investigate
October,10300835,silverlit,unknown,unknown,budget,7.18,1714.0,0.0,0.0,0.0,0.0,High Visibility Low Conversion - Investigate
October,29900075,peda,unknown,unknown,luxury,1418.61,1536.0,0.0,8.0,0.0,0.52,High Visibility Low Conversion - Investigate
October,15400069,intex,unknown,unknown,mid,74.65,1500.0,0.0,0.0,0.0,0.0,High Visibility Low Conversion - Investigate
October,16000004,rondell,unknown,unknown,budget,41.72,1497.0,10.0,2.0,0.67,0.13,High Visibility Low Conversion - Investigate
October,1004320,xiaomi,electronics,smartphone,premium,245.09,1367.0,0.0,1.0,0.0,0.07,High Visibility Low Conversion - Investigate
October,1003525,oneplus,electronics,smartphone,premium,426.74,1350.0,0.0,3.0,0.0,0.22,High Visibility Low Conversion - Investigate
October,1004965,oppo,electronics,smartphone,luxury,901.71,1298.0,14.0,5.0,1.08,0.39,High Visibility Low Conversion - Investigate
October,1003285,samsung,electronics,smartphone,luxury,527.92,1295.0,0.0,8.0,0.0,0.62,High Visibility Low Conversion - Investigate
October,3500009,bosch,unknown,unknown,premium,282.28,1285.0,11.0,3.0,0.86,0.23,High Visibility Low Conversion - Investigate
October,15700108,unknown,unknown,unknown,mid,140.49,1242.0,0.0,7.0,0.0,0.56,High Visibility Low Conversion - Investigate
October,29900054,peda,unknown,unknown,luxury,2557.59,1235.0,0.0,0.0,0.0,0.0,High Visibility Low Conversion - Investigate
October,1004575,xiaomi,electronics,smartphone,premium,473.0,1206.0,10.0,9.0,0.83,0.75,High Visibility Low Conversion - Investigate
October,15100122,unknown,unknown,unknown,luxury,1747.77,1188.0,0.0,2.0,0.0,0.17,High Visibility Low Conversion - Investigate
October,13200019,sv,furniture,bedroom,premium,386.21,1177.0,0.0,9.0,0.0,0.76,High Visibility Low Conversion - Investigate
